Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",Mueller cell,Schwann cell,T cell,acinar cell,adipocyte,basophil,classical monocyte,conjunctival epithelial cell,corneal epithelial cell,endothelial cell,erythrocyte,erythroid lineage cell,eye photoreceptor cell,fibroblast,intermediate monocyte,keratocyte,macrophage,mast cell,mature NK T cell,microglial cell,monocyte,muscle cell,myeloid dendritic cell,myeloid leukocyte,natural killer cell,neutrophil,non-classical monocyte,plasma cell,radial glial cell,retina horizontal cell,retinal bipolar neuron,retinal blood vessel endothelial cell,retinal ganglion cell,retinal pigment epithelial cell,smooth muscle cell,stromal cell
erythrocyte,0.0037920556496828794,-0.0012955585261806846,0.027482427656650543,0.0153112867847085,0.14924995601177216,0.003969088662415743,0.01845167577266693,0.09573566913604736,0.012310639955103397,0.07294166833162308,0.03993472456932068,0.0757606253027916,0.06485477089881897,1.5736222849227488e-05,0.04453728348016739,0.0344231016933918,0.6196606159210205,0.09144909679889679,0.6917358040809631,0.29325976967811584,0.01311818603426218,0.2100326269865036,0.17561779916286469,0.08261135965585709,0.004415594507008791,0.05550694465637207,0.1549973487854004,0.2584550082683563,-0.03151845186948776,0.0933663547039032,-0.08062834292650223,0.014508315362036228,-0.002547241048887372,0.07979165017604828,0.09606803953647614,0.05524473264813423,0.015131019987165928,0.0891183391213417,0.07393211126327515
erythroid lineage cell,0.2123095840215683,0.18940237164497375,0.24193401634693146,0.1318279653787613,0.19540570676326752,0.1686699092388153,0.23184706270694733,0.2090320587158203,0.11900380253791809,0.31864452362060547,0.13641242682933807,0.15753453969955444,0.1759200245141983,0.07549351453781128,0.1545090228319168,0.2591822147369385,0.3148505985736847,0.3244892954826355,0.4312167465686798,0.41970887780189514,0.15308372676372528,0.26397019624710083,0.41950997710227966,0.31216543912887573,0.042786307632923126,0.13531182706356049,0.33526942133903503,0.30702707171440125,0.23965267837047577,0.28696686029434204,0.06856594979763031,0.15057331323623657,0.104528047144413,0.275422602891922,0.19853825867176056,0.16103138029575348,0.18990062177181244,0.16017569601535797,0.15621891617774963
eye photoreceptor cell,0.3159037232398987,0.2020910233259201,0.20235182344913483,0.40904471278190613,0.37431398034095764,0.18697597086429596,0.386557012796402,0.3486100435256958,0.2555658519268036,0.23983155190944672,0.3328160345554352,0.3350687623023987,0.2819632589817047,0.26115211844444275,0.28870999813079834,0.5322323441505432,0.44246914982795715,0.23580588400363922,0.45344412326812744,0.280242383480072,0.2940811812877655,0.26326480507850647,0.29813334345817566,0.23997439444065094,0.2100735604763031,0.05274370312690735,0.2620145380496979,0.2439192682504654,0.2854098379611969,0.24911977350711823,0.37587496638298035,0.3584824800491333,0.4066784381866455,0.47205957770347595,0.3398948013782501,0.3440082371234894,0.4138931334018707,0.3409535884857178,0.36162081360816956
fibroblast,0.40556207299232483,0.36788085103034973,0.4074457585811615,0.29934999346733093,0.25063788890838623,0.34700721502304077,0.35232436656951904,0.31450435519218445,0.3504163920879364,0.5111610889434814,0.36299434304237366,0.3906489312648773,0.3873349130153656,0.34426453709602356,0.3352246880531311,0.3455914855003357,0.3832428455352783,0.5156825184822083,0.406432181596756,0.4963076114654541,0.3350306451320648,0.38327738642692566,0.4995177388191223,0.5055650472640991,0.2454281598329544,0.42528942227363586,0.5089033842086792,0.3994166851043701,0.5779523849487305,0.5014039278030396,0.308962881565094,0.431710809469223,0.3019650876522064,0.3574218451976776,0.34774690866470337,0.3499774634838104,0.3928562104701996,0.28535476326942444,0.3325722813606262
intermediate monocyte,0.4169861078262329,0.3596142530441284,0.41035032272338867,0.33066049218177795,0.29112473130226135,0.3624076843261719,0.40664079785346985,0.43654030561447144,0.3976993262767792,0.5064922571182251,0.36223649978637695,0.37995967268943787,0.47366443276405334,0.3667774498462677,0.3846682608127594,0.3323496878147125,0.551148533821106,0.5177799463272095,0.5715110898017883,0.5122847557067871,0.3894230127334595,0.38755157589912415,0.5112005472183228,0.5012264251708984,0.2829400300979614,0.3972020447254181,0.5198159217834473,0.4242546856403351,0.5924909114837646,0.49186962842941284,0.3379383683204651,0.4071814715862274,0.3290030360221863,0.339646577835083,0.3998398184776306,0.40275391936302185,0.42220428586006165,0.31429702043533325,0.40891924500465393
keratocyte,0.4396804869174957,0.41326016187667847,0.4471788704395294,0.3398771584033966,0.2800449728965759,0.3992738425731659,0.3773978352546692,0.3526018559932709,0.39089277386665344,0.5181509256362915,0.4030017554759979,0.4260793924331665,0.42241355776786804,0.3968936800956726,0.3907831609249115,0.37956398725509644,0.41651517152786255,0.5222140550613403,0.43637847900390625,0.5032591819763184,0.37627550959587097,0.4237786531448364,0.507957398891449,0.5156127214431763,0.3166644871234894,0.48903021216392517,0.5174049139022827,0.4369516670703888,0.5707205533981323,0.5102627873420715,0.3742509186267853,0.4646712839603424,0.33601483702659607,0.3784756362438202,0.381670206785202,0.3957267105579376,0.42313075065612793,0.31569626927375793,0.371187299489975
macrophage,0.3660193383693695,0.3185620605945587,0.3593835234642029,0.2986067235469818,0.2442779392004013,0.30747848749160767,0.3840327262878418,0.3651163876056671,0.32309213280677795,0.4446338713169098,0.3145715594291687,0.3273651599884033,0.39732685685157776,0.3470000922679901,0.33537840843200684,0.31780239939689636,0.47801193594932556,0.4653969705104828,0.510751485824585,0.4553038775920868,0.3139651119709015,0.3291334807872772,0.4572792649269104,0.438162237405777,0.23504777252674103,0.3494836091995239,0.46615272760391235,0.3665853440761566,0.562296450138092,0.4385916292667389,0.27043166756629944,0.3493976294994354,0.2966476380825043,0.32467907667160034,0.3474567234516144,0.3409494161605835,0.37595319747924805,0.2733830213546753,0.33865630626678467
mast cell,0.3683241307735443,0.36239907145500183,0.3903394937515259,0.3455456793308258,0.30648717284202576,0.3549511730670929,0.36001744866371155,0.3587249219417572,0.37361282110214233,0.4654845893383026,0.40763434767723083,0.4433838725090027,0.3963679075241089,0.3187343180179596,0.32584148645401,0.35253575444221497,0.446255624294281,0.4577065110206604,0.4928116500377655,0.4149107038974762,0.37276792526245117,0.37643033266067505,0.4298968017101288,0.44858768582344055,0.23042121529579163,0.3712894916534424,0.43590670824050903,0.4047134816646576,0.5907202363014221,0.4538971781730652,0.26806363463401794,0.45907941460609436,0.33558544516563416,0.35166049003601074,0.3649827539920807,0.3655259907245636,0.42919641733169556,0.320123553276062,0.3730384111404419
mature NK T cell,0.3677372634410858,0.3715880811214447,0.38576123118400574,0.32793161273002625,0.30226463079452515,0.355625718832016,0.3692382872104645,0.34359225630760193,0.3597605228424072,0.46406230330467224,0.36884039640426636,0.3941905200481415,0.3852035701274872,0.3316918611526489,0.32813528180122375,0.38470837473869324,0.378123015165329,0.4544169008731842,0.41160693764686584,0.4344038963317871,0.3599024713039398,0.3690849244594574,0.43817272782325745,0.44726863503456116,0.2983410656452179,0.35398975014686584,0.44432973861694336,0.4053325951099396,0.5420118570327759,0.4546721577644348,0.28635308146476746,0.4109857380390167,0.32888248562812805,0.3562958538532257,0.36031898856163025,0.35851356387138367,0.4168841242790222,0.33928167819976807,0.35232773423194885
microglial cell,0.34942618012428284,0.31089282035827637,0.35519590973854065,0.2957499325275421,0.2458956390619278,0.29562315344810486,0.3800313472747803,0.372793585062027,0.31955257058143616,0.4472911059856415,0.3015938103199005,0.3283456563949585,0.39224258065223694,0.3534388244152069,0.351463258266449,0.3236836791038513,0.4898698031902313,0.46646174788475037,0.524013876914978,0.45946255326271057,0.3146476447582245,0.33014777302742004,0.45509204268455505,0.43731704354286194,0.2222103625535965,0.33840301632881165,0.46484723687171936,0.3741820454597473,0.5700888633728027,0.4328865706920624,0.2561675012111664,0.3546905219554901,0.2967723309993744,0.33049750328063965,0.33801141381263733,0.33257797360420227,0.38894352316856384,0.26532819867134094,0.3346066176891327
monocyte,0.39345014095306396,0.34491443634033203,0.3904654383659363,0.3195017874240875,0.27606430649757385,0.34031808376312256,0.39600056409835815,0.41421863436698914,0.3678596019744873,0.47185835242271423,0.34741318225860596,0.3641849160194397,0.4346047043800354,0.36227962374687195,0.3727628290653229,0.3303993046283722,0.5372012257575989,0.4796614944934845,0.5606633424758911,0.47147369384765625,0.36635270714759827,0.3726731836795807,0.46881380677223206,0.467986524105072,0.25845450162887573,0.36931028962135315,0.4791634976863861,0.4049362242221832,0.5618138313293457,0.44735270738601685,0.31943443417549133,0.3935545086860657,0.31632301211357117,0.3404122292995453,0.3779365122318268,0.3697976768016815,0.4105989634990692,0.29572194814682007,0.3843050003051758
muscle cell,0.24348004162311554,0.2905846834182739,0.3115541636943817,0.3240381181240082,0.20755630731582642,0.2622601091861725,0.366767942905426,0.28212377429008484,0.18691933155059814,0.27671417593955994,0.17017802596092224,0.2198992818593979,0.25985243916511536,0.33844825625419617,0.30663803219795227,0.31281396746635437,0.47544458508491516,0.26505962014198303,0.5136318206787109,0.2936423718929291,0.1478174477815628,0.2943127453327179,0.29141759872436523,0.2668820917606354,0.050237540155649185,0.2512096166610718,0.2657702565193176,0.35861822962760925,0.27283284068107605,0.2924607992172241,0.06204552203416824,0.2023393213748932,0.2785830795764923,0.3096688687801361,0.23132504522800446,0.2597830891609192,0.48795315623283386,0.20235218107700348,0.37944796681404114
myeloid dendritic cell,0.4321478307247162,0.37662914395332336,0.3945808410644531,0.3340388834476471,0.2776557207107544,0.38270995020866394,-0.037331804633140564,0.13080139458179474,0.32427093386650085,0.6324541568756104,0.2720162570476532,0.3135351836681366,0.9548531174659729,0.14601550996303558,0.2584182620048523,0.5101244449615479,0.5576441287994385,0.6315240263938904,0.6046173572540283,0.6366511583328247,0.2682102918624878,0.3279753625392914,0.6458156108856201,0.625475287437439,0.15562580525875092,0.320747047662735,0.6300345063209534,0.3993133306503296,0.7245768904685974,0.6538191437721252,0.2625333070755005,0.3666655123233795,0.32145389914512634,0.45126697421073914,0.48163777589797974,0.7001889944076538,0.5728441476821899,0.2678920328617096,0.4769534766674042
myeloid leukocyte,0.39842742681503296,0.34167131781578064,0.3951743543148041,0.3204773962497711,0.2690214216709137,0.3353032171726227,0.40023308992385864,0.41723886132240295,0.3692267835140228,0.5086472034454346,0.33845072984695435,0.35962602496147156,0.4598451554775238,0.37662798166275024,0.3884030878543854,0.3392840027809143,0.5402793884277344,0.5235767364501953,0.5642502903938293,0.5147677659988403,0.35870903730392456,0.3667500913143158,0.515373945236206,0.5021068453788757,0.2544531524181366,0.3869820833206177,0.5262929201126099,0.403266578912735,0.619530200958252,0.4978041648864746,0.30526790022850037,0.38823235034942627,0.3211928606033325,0.34651750326156616,0.3818250298500061,0.38952362537384033,0.4059465527534485,0.29455044865608215,0.3843376934528351
natural killer cell,0.4255562722682953,0.42012760043144226,0.438777357339859,0.3460392951965332,0.31179240345954895,0.4164070785045624,0.409405380487442,0.38549408316612244,0.4012385606765747,0.5450735688209534,0.37218961119651794,0.3893919885158539,0.4465433359146118,0.3820682466030121,0.3756488263607025,0.3418935537338257,0.4230216443538666,0.5434509515762329,0.45205211639404297,0.5258591175079346,0.38918009400367737,0.41707465052604675,0.523943305015564,0.5349118709564209,0.3757491409778595,0.4167928993701935,0.5314481258392334,0.4438868463039398,0.6009112596511841,0.5405210256576538,0.37040048837661743,0.39808234572410583,0.33609315752983093,0.35854583978652954,0.4051959216594696,0.4141681492328644,0.44075071811676025,0.35220012068748474,0.3938675820827484
neutrophil,0.4678192734718323,0.42662471532821655,0.48388054966926575,0.3020903170108795,0.32676053047180176,0.45798757672309875,0.331267386674881,0.35931864380836487,0.4269270598888397,0.5092440843582153,0.3669239282608032,0.37037187814712524,0.45402324199676514,0.09799881279468536,0.199637308716774,0.29844558238983154,0.5123900175094604,0.5239385366439819,0.5274880528450012,0.5181758403778076,0.4509666860103607,0.45096859335899353,0.5123883485794067,0.5122781991958618,0.26102086901664734,0.39510539174079895,0.5286332964897156,0.4817144274711609,0.5661067366600037,0.4800061285495758,0.35663333535194397,0.40835973620414734,0.30045560002326965,0.31605204939842224,0.4507982134819031,0.40059784054756165,0.3557875156402588,0.349187433719635,0.38408365845680237
non-classical monocyte,0.3953055441379547,0.342088907957077,0.40033966302871704,0.3090372085571289,0.27008500695228577,0.33772018551826477,0.37413665652275085,0.3579937815666199,0.3497578203678131,0.4625936448574066,0.32407012581825256,0.3435780704021454,0.42496976256370544,0.2290116846561432,0.2806859314441681,0.31282559037208557,0.5103239417076111,0.475158154964447,0.5347315073013306,0.47332218289375305,0.35223743319511414,0.37867119908332825,0.46950092911720276,0.4577849805355072,0.2574903964996338,0.37006741762161255,0.4789265990257263,0.4173004925251007,0.5532573461532593,0.44900718331336975,0.29473453760147095,0.3689177930355072,0.3058744966983795,0.3158753514289856,0.3872670829296112,0.36818787455558777,0.4089605510234833,0.2960886061191559,0.37884125113487244
plasma cell,0.20943251252174377,0.24857103824615479,0.2805485427379608,0.2444009929895401,0.2006807178258896,0.21790552139282227,0.27227285504341125,0.23141756653785706,0.2055613398551941,0.3212164044380188,0.21818119287490845,0.2448190599679947,0.2238730639219284,0.0072173778899014,0.12088576704263687,0.29062309861183167,0.36491426825523376,0.29848137497901917,0.41526833176612854,0.2857789099216461,0.22382895648479462,0.27443060278892517,0.268846333026886,0.29689842462539673,0.14888925850391388,0.2562549114227295,0.27058055996894836,0.3488486111164093,0.4207198917865753,0.28399625420570374,0.113941989839077,0.26767441630363464,0.2415744513273239,0.3033280670642853,0.23997658491134644,0.18342863023281097,0.36490240693092346,0.20554400980472565,0.22370319068431854
radial glial cell,0.47928348183631897,0.4407222270965576,0.4825465679168701,0.36504510045051575,0.39556312561035156,0.4449252784252167,0.3511238396167755,0.35248956084251404,0.4782237708568573,0.5458921194076538,0.47244006395339966,0.5141116976737976,0.46543022990226746,0.3116268217563629,0.3166082501411438,0.3854058086872101,0.48525863885879517,0.5474714040756226,0.5115600824356079,0.5042840242385864,0.4719819724559784,0.4762173593044281,0.5295482277870178,0.5387872457504272,0.33857932686805725,0.4596203565597534,0.5296597480773926,0.48025277256965637,0.6286208629608154,0.5574159026145935,0.4232094883918762,0.5414355397224426,0.36842110753059387,0.39523574709892273,0.43446967005729675,0.47814878821372986,0.45370468497276306,0.39028432965278625,0.44656217098236084
