Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,classical monocyte,endothelial cell,erythrocyte,fibroblast,hematopoietic precursor cell,hepatic stellate cell,hepatocyte,intermediate monocyte,intrahepatic cholangiocyte,macrophage,mast cell,mature NK T cell,monocyte,myeloid cell,myeloid dendritic cell,natural killer cell,neutrophil,non-classical monocyte,plasma cell,plasmacytoid dendritic cell
hepatocyte,0.4562417268753052,0.34983599185943604,0.3815329670906067,0.3756558895111084,0.7484843730926514,0.44150853157043457,0.40610942244529724,0.33963125944137573,0.38971394300460815,0.3424304127693176,0.3921997845172882,0.7670691609382629,0.35531723499298096,0.7295953035354614,0.3951868414878845,0.37418046593666077,0.7516195178031921,0.6681303977966309,0.8263574838638306,0.41828033328056335,0.6809371709823608,0.6703899502754211,0.3332347273826599,0.3884301781654358
intermediate monocyte,0.5363175272941589,0.5125636458396912,0.5269359946250916,0.5298603177070618,0.5598531365394592,0.6053825616836548,0.5870681405067444,0.4027397930622101,0.5083059668540955,0.40970948338508606,0.5666150450706482,0.5673326849937439,0.4757178723812103,0.5740111470222473,0.5596131682395935,0.5355744361877441,0.5595466494560242,0.559122622013092,0.6804056763648987,0.5486183166503906,0.5308195352554321,0.5777061581611633,0.5109537839889526,0.551035463809967
intrahepatic cholangiocyte,0.520750880241394,0.3737870454788208,0.39700552821159363,0.4111019968986511,0.6833429932594299,0.5753498673439026,0.49894702434539795,0.475904256105423,0.48048341274261475,0.48502689599990845,0.47783738374710083,0.704230546951294,0.49762487411499023,0.6935355067253113,0.48634055256843567,0.3950181305408478,0.6929358839988708,0.6662550568580627,0.7602159976959229,0.41733935475349426,0.6623940467834473,0.6573423743247986,0.5038631558418274,0.503800094127655
macrophage,0.45667025446891785,0.4380442500114441,0.4602372646331787,0.45763063430786133,0.4796850085258484,0.4916937053203583,0.4931809902191162,0.30512624979019165,0.415168434381485,0.2977829575538635,0.44236505031585693,0.48237162828445435,0.34559521079063416,0.483157753944397,0.4369661808013916,0.4626682698726654,0.47517824172973633,0.4786459505558014,0.6415992379188538,0.489546000957489,0.439205527305603,0.48873013257980347,0.39939409494400024,0.44310569763183594
mast cell,0.50393146276474,0.505652904510498,0.5312874913215637,0.5270639061927795,0.6091225147247314,0.5897676944732666,0.5856980681419373,0.3599642813205719,0.3492232859134674,0.34447771310806274,0.47022220492362976,0.6485214829444885,0.3605128824710846,0.6591179370880127,0.441142201423645,0.5210173726081848,0.6222053170204163,0.5750824809074402,0.7560982704162598,0.5733668208122253,0.5562896132469177,0.5743898749351501,0.1545308232307434,0.3934078812599182
mature NK T cell,0.4467267692089081,0.4256179630756378,0.4519624710083008,0.4452153444290161,0.683336615562439,0.5169997811317444,0.4052289128303528,0.2629607915878296,0.2747608423233032,0.25898173451423645,0.3832649886608124,0.7526413202285767,0.26723551750183105,0.7459108233451843,0.4212590754032135,0.4404231309890747,0.720812201499939,0.6122227907180786,0.8067218661308289,0.49898189306259155,0.5697596073150635,0.6731035113334656,0.3031280040740967,0.3589373826980591
monocyte,0.5181673169136047,0.4964677095413208,0.5127890110015869,0.5147092342376709,0.5447947382926941,0.5889232754707336,0.5681238770484924,0.38937827944755554,0.489297479391098,0.39094316959381104,0.5479806065559387,0.5505580306053162,0.4603937864303589,0.5575107932090759,0.536624550819397,0.5199111104011536,0.5430443286895752,0.543491780757904,0.6671804189682007,0.5378556847572327,0.5144929885864258,0.559232771396637,0.48732438683509827,0.5300413966178894
myeloid cell,0.5146748423576355,0.4843485951423645,0.516071081161499,0.5222687721252441,0.7909595966339111,0.6383656859397888,0.5820897817611694,0.3983709216117859,0.5046643614768982,0.3989582657814026,0.5362929701805115,0.8229592442512512,0.45307666063308716,0.8009828925132751,0.5376582741737366,0.5247388482093811,0.8007749319076538,0.7062245011329651,0.872082531452179,0.5580462217330933,0.6592757701873779,0.7824757695198059,0.466001033782959,0.5446854829788208
myeloid dendritic cell,0.43521857261657715,0.4085388779640198,0.4293321669101715,0.42793428897857666,0.439656138420105,0.5442603230476379,0.5200410485267639,0.29997721314430237,0.36241430044174194,0.28812089562416077,0.4291534721851349,0.4421231746673584,0.32530921697616577,0.44626912474632263,0.3664129376411438,0.4283933937549591,0.4358367323875427,0.4465898871421814,0.5992349982261658,0.4593004882335663,0.40879958868026733,0.4537977874279022,0.34281814098358154,0.4268834590911865
natural killer cell,0.4915599226951599,0.4783792495727539,0.49525588750839233,0.48316332697868347,0.506801426410675,0.5264493823051453,0.4467872381210327,0.31583449244499207,0.3416423201560974,0.30051755905151367,0.43687576055526733,0.5168748497962952,0.3227978050708771,0.571266233921051,0.4641624093055725,0.49109947681427,0.5097082853317261,0.5041866302490234,0.7134614586830139,0.5165007710456848,0.4818980097770691,0.49946197867393494,0.3708806037902832,0.41047602891921997
neutrophil,0.47706612944602966,0.4284707009792328,0.47425755858421326,0.4798031449317932,0.7942324280738831,0.5217453837394714,0.45600658655166626,0.2382199615240097,0.3854503333568573,0.2331431657075882,0.42848169803619385,0.8455440402030945,0.2952383756637573,0.8169829249382019,0.4189697206020355,0.4737096130847931,0.8203315138816833,0.7014957070350647,0.8822584748268127,0.5108397603034973,0.5918160676956177,0.7898115515708923,0.31911811232566833,0.4048110842704773
non-classical monocyte,0.4845025837421417,0.47823044657707214,0.5017358064651489,0.48901665210723877,0.4983568489551544,0.5358664393424988,0.4868389368057251,0.3158380389213562,0.41359758377075195,0.3052455186843872,0.4686501622200012,0.5012000203132629,0.36821120977401733,0.5239747166633606,0.4727991819381714,0.5016472935676575,0.4946654736995697,0.5016542673110962,0.655817449092865,0.5264158844947815,0.4653882384300232,0.48691922426223755,0.407092809677124,0.44957295060157776
plasma cell,0.2825513482093811,0.27560415863990784,0.31018584966659546,0.27157407999038696,0.6012647747993469,0.33438819646835327,0.34361502528190613,0.175346240401268,0.1841687113046646,0.1883402168750763,0.25929567217826843,0.6596639752388,0.19106842577457428,0.6849908828735352,0.02967045269906521,0.2875717282295227,0.6150152087211609,0.5152052640914917,0.7536956667900085,0.3483935594558716,0.4930643141269684,0.5362618565559387,0.23257078230381012,0.26169148087501526
plasmacytoid dendritic cell,0.3858909010887146,0.33186882734298706,0.3607791066169739,0.35982292890548706,0.8065748810768127,0.4896373748779297,0.4969210624694824,0.3359493017196655,0.4085518717765808,0.38212865591049194,0.40769290924072266,0.8349791169166565,0.40833935141563416,0.815381646156311,0.3062090277671814,0.34119388461112976,0.8186249136924744,0.7564489245414734,0.8721571564674377,0.3975692391395569,0.7407310605049133,0.742064356803894,0.37480270862579346,0.5083311200141907
