Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",adventitial cell,alveolar adventitial fibroblast,basal cell,basophil,bronchial smooth muscle cell,capillary endothelial cell,classical monocyte,club cell,endothelial cell of artery,endothelial cell of lymphatic vessel,intermediate monocyte,lung multiciliated epithelial cell,macrophage,mast cell,mature NK T cell,mesothelial cell,monocyte,myeloid dendritic cell,natural killer cell,neutrophil,non-classical monocyte,pericyte,plasma cell,plasmacytoid dendritic cell,pulmonary alveolar type 1 cell,pulmonary alveolar type 2 cell,pulmonary ionocyte,respiratory tract goblet cell,serous cell of epithelium of bronchus,vascular associated smooth muscle cell,vein endothelial cell
club cell,0.3643108904361725,0.3330794870853424,0.3742077052593231,0.3410118520259857,0.23099634051322937,0.23836097121238708,0.31478509306907654,0.20995399355888367,0.28983449935913086,0.37113791704177856,0.2727302014827728,0.2554415166378021,0.24473562836647034,0.38811230659484863,0.1626865267753601,0.4144275188446045,0.3177271783351898,0.3841204345226288,0.2243024706840515,0.35681280493736267,0.7661899328231812,0.3696771264076233,0.48092105984687805,0.38010916113853455,0.29683730006217957,0.25048455595970154,0.5051481127738953,0.27963098883628845,0.25809183716773987,0.2822318971157074,0.2650289833545685,0.377901166677475,0.27104511857032776,0.28228962421417236
endothelial cell of artery,0.5315670371055603,0.40921157598495483,0.46416375041007996,0.41260772943496704,0.3269883096218109,0.3087923228740692,0.40730613470077515,0.3324788510799408,0.42348453402519226,0.4870176613330841,0.35579100251197815,0.40360793471336365,0.38829687237739563,0.4949479401111603,0.32790830731391907,0.5244461297988892,0.4224194586277008,0.4926339089870453,0.3589383363723755,0.4621061086654663,0.8558818101882935,0.48297083377838135,0.6168361902236938,0.4925045967102051,0.3479515612125397,0.3829449713230133,0.6361518502235413,0.3500955402851105,0.3500860631465912,0.3517516553401947,0.330062597990036,0.4438371956348419,0.35872378945350647,0.4163331091403961
endothelial cell of lymphatic vessel,0.5950075387954712,0.43020662665367126,0.46754851937294006,0.4499253034591675,0.3625338673591614,0.3831641972064972,0.4179041385650635,0.36352482438087463,0.46478042006492615,0.5868008732795715,0.42768344283103943,0.4388065040111542,0.42400285601615906,0.593372106552124,0.39508458971977234,0.6295093297958374,0.473664790391922,0.49497249722480774,0.40139445662498474,0.5498398542404175,0.9734324812889099,0.4845767319202423,0.7114478945732117,0.5923142433166504,0.3959568440914154,0.418936163187027,0.7705590724945068,0.4015349745750427,0.41326704621315,0.4176626205444336,0.4063722491264343,0.49030032753944397,0.3966315984725952,0.45418456196784973
intermediate monocyte,0.49255189299583435,0.3930779993534088,0.43942442536354065,0.7183820009231567,0.5505069494247437,0.3840775191783905,0.4033340513706207,0.28280505537986755,0.44338259100914,0.504935622215271,0.39047256112098694,0.3840489089488983,0.3882155120372772,0.5166807770729065,0.26075804233551025,0.5458039045333862,0.4371584355831146,0.49383649230003357,0.37073445320129395,0.4862503111362457,0.7766598463058472,0.47830960154533386,0.6688531637191772,0.5037084817886353,0.5771198272705078,0.2926512062549591,0.712774395942688,0.408674031496048,0.37315866351127625,0.43553411960601807,0.3732396364212036,0.5768769383430481,0.3576444685459137,0.4240137040615082
lung multiciliated epithelial cell,0.3148132264614105,0.2734181582927704,0.3090827167034149,0.2950313091278076,0.16510066390037537,0.1233927458524704,0.2454318106174469,0.13461992144584656,0.22228361666202545,0.5100563764572144,0.16552835702896118,0.1934145838022232,0.1744883954524994,0.5304242372512817,0.09301725775003433,0.5236330032348633,0.2520290017127991,0.31486818194389343,0.13523851335048676,0.4650052487850189,0.8159680366516113,0.30274882912635803,0.6011402606964111,0.49934324622154236,0.222065731883049,0.15999767184257507,0.47074273228645325,0.18910004198551178,0.16414372622966766,0.17829784750938416,0.16033293306827545,0.26036643981933594,0.1986808180809021,0.21802833676338196
macrophage,0.4354109764099121,0.37789618968963623,0.41379889845848083,0.7475619316101074,0.5923037528991699,0.4008490741252899,0.40306171774864197,0.3293572962284088,0.4477531611919403,0.5632423758506775,0.4086154103279114,0.39232137799263,0.3803882598876953,0.5709561109542847,0.28789010643959045,0.5877448320388794,0.45284274220466614,0.473882794380188,0.39550772309303284,0.5401148200035095,0.7677187919616699,0.4605846107006073,0.6979794502258301,0.5604461431503296,0.6028130054473877,0.31970688700675964,0.7456190586090088,0.42975783348083496,0.40011897683143616,0.42096439003944397,0.40231454372406006,0.5796911716461182,0.40184763073921204,0.41870376467704773
mast cell,0.457945853471756,0.40490302443504333,0.4611569941043854,0.5939040780067444,0.4351273775100708,0.35226133465766907,0.4274200201034546,0.3329921066761017,0.42612650990486145,0.5317106246948242,0.3646512031555176,0.4056166112422943,0.42005881667137146,0.5376343727111816,0.295894593000412,0.5514388680458069,0.4640260636806488,0.5012255907058716,0.377833753824234,0.49711868166923523,0.7390486001968384,0.5059446096420288,0.685390293598175,0.5216697454452515,0.4457702338695526,0.280304491519928,0.6825880408287048,0.41758522391319275,0.35421666502952576,0.4654140770435333,0.34882408380508423,0.5184682607650757,0.37876251339912415,0.43830063939094543
mature NK T cell,0.4629074037075043,0.48729440569877625,0.5675863027572632,0.5724263787269592,0.3783784806728363,0.34657570719718933,0.4713766872882843,0.3483200967311859,0.3997832238674164,0.6167687177658081,0.34980157017707825,0.5044138431549072,0.5369609594345093,0.6113128662109375,0.30008837580680847,0.6155623197555542,0.49885833263397217,0.600256621837616,0.4514378011226654,0.5655344724655151,0.6453596353530884,0.5891159772872925,0.758208155632019,0.5970438718795776,0.3605365753173828,0.3026343882083893,0.5171142816543579,0.3802630305290222,0.30071908235549927,0.4113340377807617,0.34727463126182556,0.5943886637687683,0.34778931736946106,0.5580968856811523
mesothelial cell,0.47497716546058655,0.43534961342811584,0.4643678367137909,0.42399802803993225,0.3122650682926178,0.24858692288398743,0.44823509454727173,0.3549594581127167,0.4211188554763794,0.5418108105659485,0.26601725816726685,0.3979637324810028,0.3658570349216461,0.5454450249671936,0.16845357418060303,0.5661014318466187,0.4408934414386749,0.48903608322143555,0.26017922163009644,0.5016125440597534,0.8396738171577454,0.4787806570529938,0.648795485496521,0.5389989614486694,0.3656925857067108,0.3787957727909088,0.5529216527938843,0.2894922196865082,0.261084645986557,0.2816990315914154,0.25806137919425964,0.37961772084236145,0.40053609013557434,0.4032783806324005
monocyte,0.44494760036468506,0.36344245076179504,0.4054034352302551,0.6156108379364014,0.4569193720817566,0.3314962089061737,0.35559725761413574,0.23162424564361572,0.3808422386646271,0.4522819221019745,0.3381156623363495,0.3233265280723572,0.33507511019706726,0.4636569917201996,0.21097633242607117,0.49364641308784485,0.38519537448883057,0.44967928528785706,0.3078068196773529,0.4373026490211487,0.7321643829345703,0.4350580871105194,0.6190159916877747,0.4503967761993408,0.5049926042556763,0.1942417174577713,0.6350387334823608,0.3502602279186249,0.31765231490135193,0.40649497509002686,0.3196336328983307,0.4802560806274414,0.3048596978187561,0.36761191487312317
