Sender,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,classical monocyte,endothelial cell,fibroblast,intermediate monocyte,macrophage,mast cell,mature NK T cell,monocyte,natural killer cell,neutrophil,non-classical monocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,plasma cell,type B pancreatic cell
neutrophil,0.5020097494125366,0.370969295501709,0.4512058198451996,0.4923551380634308,0.5701594352722168,0.5316401124000549,0.5468595027923584,0.5873186588287354,0.5616922974586487,0.44816291332244873,0.46276986598968506,0.619989275932312,0.5261139869689941,0.5362869501113892,0.5581302642822266,0.37415340542793274,0.2539016902446747,0.33569592237472534,0.2546216547489166,0.36387595534324646,0.3843095600605011,0.27516838908195496,0.24187608063220978
non-classical monocyte,0.3892030417919159,0.2718096673488617,0.3507354259490967,0.37900131940841675,0.4576321542263031,0.3676677346229553,0.4182927906513214,0.4672107398509979,0.44146665930747986,0.30745455622673035,0.3323077857494354,0.49987170100212097,0.4216565191745758,0.42419955134391785,0.4418254494667053,0.2565819025039673,0.14576002955436707,0.2142850011587143,0.19356192648410797,0.23652315139770508,0.2593429982662201,0.1719469577074051,0.14452910423278809
pancreatic A cell,0.5185278058052063,0.26052191853523254,0.3429587781429291,0.5690327882766724,0.6415205001831055,0.567706286907196,0.5752590894699097,0.6677249670028687,0.6336830854415894,0.5210790038108826,0.4355217516422272,0.7655422687530518,0.4026852548122406,0.5999710559844971,0.6476229429244995,0.5565190315246582,0.6271291375160217,0.4496380388736725,0.48769161105155945,0.24898189306259155,0.2507980763912201,0.4465012848377228,0.6052498817443848
pancreatic D cell,0.4106215834617615,0.16058297455310822,0.2305956333875656,0.6570696830749512,0.7807531356811523,0.7722036838531494,0.7683349847793579,0.8093935251235962,0.7663040161132812,0.6157366633415222,0.34597110748291016,0.8502369523048401,0.27022072672843933,0.71322101354599,0.7470824122428894,0.7177236080169678,0.6479218006134033,0.6581668257713318,0.6024574041366577,0.6180044412612915,0.5938912630081177,0.5885233879089355,0.6327873468399048
pancreatic PP cell,0.34522995352745056,0.18583308160305023,0.26984649896621704,0.37564268708229065,0.4518440365791321,0.41160812973976135,0.41496410965919495,0.4775027334690094,0.43065986037254333,0.30478671193122864,0.2986017167568207,0.5876036286354065,0.3220701515674591,0.4165199398994446,0.46667781472206116,0.384729266166687,0.3957135081291199,0.3054841458797455,0.2665768563747406,0.14610768854618073,0.1707289069890976,0.23948338627815247,0.3568252623081207
pancreatic acinar cell,0.4950704276561737,0.3305998742580414,0.39667704701423645,0.4926929175853729,0.36947670578956604,0.5783030390739441,0.5123375654220581,0.37788301706314087,0.3695693612098694,0.44684961438179016,0.4344806671142578,0.5346075892448425,0.424308717250824,0.394015371799469,0.37889477610588074,0.5162673592567444,0.44362983107566833,0.45805564522743225,0.3929034471511841,0.3985537886619568,0.3968386650085449,0.3938804864883423,0.4194481074810028
pancreatic ductal cell,0.3897658884525299,0.2053593546152115,0.2909521460533142,0.3716200292110443,0.5097402334213257,0.39834561944007874,0.3887372612953186,0.538729190826416,0.4850328862667084,0.29669705033302307,0.3097461760044098,0.6585075855255127,0.346819132566452,0.4664601981639862,0.5145184397697449,0.1595546007156372,0.09904038161039352,0.11628221720457077,0.10068681836128235,0.11699789017438889,0.168258398771286,0.11621130257844925,0.07537459582090378
pancreatic stellate cell,0.3300952911376953,0.17114554345607758,0.23336747288703918,0.29464635252952576,0.40815460681915283,0.36009374260902405,0.29034894704818726,0.42451509833335876,0.3780454993247986,0.23676007986068726,0.25797492265701294,0.5365607738494873,0.2909877896308899,0.3718324601650238,0.3911469876766205,0.1432598978281021,0.08934453874826431,0.11464809626340866,0.07056394964456558,0.11944688856601715,0.17414306104183197,0.10010236501693726,0.0670701414346695
plasma cell,0.208170086145401,0.10341503471136093,0.17969590425491333,0.14810509979724884,0.22825269401073456,0.2735331356525421,0.18830719590187073,0.24386055767536163,0.20140722393989563,0.1067223846912384,0.1618008315563202,0.3418547511100769,0.29190579056739807,0.18666209280490875,0.2103603631258011,0.18492355942726135,0.04174599051475525,0.050436027348041534,0.01966661959886551,0.013955562375485897,0.021612852811813354,-0.03699200600385666,-0.00500252190977335
type B pancreatic cell,0.4353601336479187,0.15276426076889038,0.2311587780714035,0.7091524004936218,0.8488229513168335,0.830701470375061,0.82523113489151,0.8757367730140686,0.8387677073478699,0.6803874969482422,0.38577404618263245,0.9151100516319275,0.26952776312828064,0.7863482236862183,0.8161875009536743,0.760576069355011,0.6896950602531433,0.7114139795303345,0.6595517992973328,0.6973538398742676,0.6749764680862427,0.6542242765426636,0.6699212789535522
